1000,0.022888,25.165824
2000,0.045776,50.331648
4000,0.091553,100.663296
8000,0.183105,201.326592
16000,0.366211,201.326592
32000,0.732422,48.077992
64000,1.464844,61.946644
128000,2.929688,146.419340
256000,5.859375,107.823447
512000,11.718750,20.615843
1024000,23.437500,20.599364
2048000,46.875000,20.162194
4096000,93.750000,28.175267
8192000,187.500000,28.239914
16384000,375.000000,27.860189
32768000,750.000000,26.741264
65536000,1500.000000,26.845293
131072000,3000.000000,26.796334
262144000,6000.000000,26.762363
524288000,12000.000000,26.701298
