1000,0.022888,2.013266
2000,0.045776,4.026532
4000,0.091553,8.053064
8000,0.183105,14.913081
16000,0.366211,29.826162
32000,0.732422,59.652324
64000,1.464844,117.135472
128000,2.929688,192.311968
256000,5.859375,343.597384
512000,11.718750,560.213126
1024000,23.437500,701.219150
2048000,46.875000,310.947859
4096000,93.750000,379.665617
8192000,187.500000,375.174577
16384000,375.000000,363.755501
32768000,750.000000,367.647669
65536000,1500.000000,373.771658
131072000,3000.000000,373.433135
262144000,6000.000000,370.564647
524288000,12000.000000,251.658480
1048576000,24000.000000,79.956002
2097152000,48000.000000,59.155453
