1000,0.022888,2.013266
2000,0.045776,4.026532
4000,0.091553,8.053064
8000,0.183105,15.790321
16000,0.366211,27.769185
32000,0.732422,59.652324
64000,1.464844,117.135472
128000,2.929688,192.311968
256000,5.859375,339.076365
512000,11.718750,560.213126
1024000,23.437500,769.247874
2048000,46.875000,307.240582
4096000,93.750000,375.174577
8192000,187.500000,381.774871
16384000,375.000000,366.503876
32768000,750.000000,375.730138
65536000,1500.000000,375.195915
131072000,3000.000000,375.110580
262144000,6000.000000,366.503876
524288000,12000.000000,374.113447
1048576000,24000.000000,150.608790
2097152000,48000.000000,97.011987
