Problem: irf256, setup: 138.27 ms, time: 390.87 ns, ``mflops'': 13099
Problem: irf768, setup: 486.55 ms, time: 1.38 us, ``mflops'': 13291
Problem: irf1280, setup: 647.12 ms, time: 2.28 us, ``mflops'': 14467
Problem: irf1792, setup: 418.26 ms, time: 5.27 us, ``mflops'': 9182.1
Problem: irf2304, setup: 972.72 ms, time: 6.72 us, ``mflops'': 9569
Problem: irf2816, setup: 293.52 ms, time: 7.13 us, ``mflops'': 11307
Problem: irf3328, setup: 306.53 ms, time: 8.28 us, ``mflops'': 11754
Problem: irf3840, setup: 1.75 s, time: 8.95 us, ``mflops'': 12773
Problem: irf4352, setup: 319.53 ms, time: 13.60 us, ``mflops'': 9672.3
Problem: irf4864, setup: 397.05 ms, time: 19.89 us, ``mflops'': 7487.7
Problem: irf5376, setup: 1.19 s, time: 11.85 us, ``mflops'': 14053
Problem: irf5888, setup: 361.15 ms, time: 18.28 us, ``mflops'': 10083
Problem: irf6400, setup: 1.41 s, time: 13.66 us, ``mflops'': 14812
Problem: irf6912, setup: 1.54 s, time: 14.75 us, ``mflops'': 14942
Problem: irf7424, setup: 456.18 ms, time: 24.11 us, ``mflops'': 9898.4
Problem: irf7936, setup: 459.76 ms, time: 26.62 us, ``mflops'': 9653.7
Problem: irf8448, setup: 768.42 ms, time: 17.89 us, ``mflops'': 15396
Problem: irf8960, setup: 1.55 s, time: 17.94 us, ``mflops'': 16397
Problem: irf9472, setup: 599.49 ms, time: 32.85 us, ``mflops'': 9521.6
Problem: irf9984, setup: 814.56 ms, time: 19.17 us, ``mflops'': 17302
Problem: irf10496, setup: 656.51 ms, time: 36.30 us, ``mflops'': 9655.5
Problem: irf11008, setup: 628.32 ms, time: 38.94 us, ``mflops'': 9488.4
Problem: irf11520, setup: 3.29 s, time: 21.66 us, ``mflops'': 17939
Problem: irf12032, setup: 712.95 ms, time: 46.13 us, ``mflops'': 8838.8
Problem: irf12544, setup: 845.63 ms, time: 22.57 us, ``mflops'': 18918
Problem: irf13056, setup: 924.92 ms, time: 31.31 us, ``mflops'': 14255
Problem: irf13568, setup: 789.98 ms, time: 51.74 us, ``mflops'': 8999.4
Problem: irf14080, setup: 1.10 s, time: 25.18 us, ``mflops'': 19264
Problem: irf14592, setup: 998.45 ms, time: 35.90 us, ``mflops'': 14058
Problem: irf15104, setup: 887.12 ms, time: 56.20 us, ``mflops'': 9327
Problem: irf15616, setup: 1.30 s, time: 114.92 us, ``mflops'': 4732.4
Problem: irf16128, setup: 2.72 s, time: 34.11 us, ``mflops'': 16524
Problem: orf256, setup: 75.02 ms, time: 389.92 ns, ``mflops'': 13131
Problem: orf768, setup: 301.27 ms, time: 2.00 us, ``mflops'': 9190.3
Problem: orf1280, setup: 421.62 ms, time: 2.98 us, ``mflops'': 11077
Problem: orf1792, setup: 262.34 ms, time: 3.86 us, ``mflops'': 12547
Problem: orf2304, setup: 599.06 ms, time: 4.46 us, ``mflops'': 14423
Problem: orf2816, setup: 177.38 ms, time: 5.44 us, ``mflops'': 14826
Problem: orf3328, setup: 180.10 ms, time: 6.28 us, ``mflops'': 15490
Problem: orf3840, setup: 1.15 s, time: 6.68 us, ``mflops'': 17107
Problem: orf4352, setup: 182.90 ms, time: 10.98 us, ``mflops'': 11982
Problem: orf4864, setup: 189.32 ms, time: 12.34 us, ``mflops'': 12065
Problem: orf5376, setup: 792.42 ms, time: 9.47 us, ``mflops'': 17586
Problem: orf5888, setup: 205.12 ms, time: 14.23 us, ``mflops'': 12953
Problem: orf6400, setup: 917.83 ms, time: 9.53 us, ``mflops'': 21225
Problem: orf6912, setup: 919.31 ms, time: 10.70 us, ``mflops'': 20604
Problem: orf7424, setup: 267.07 ms, time: 20.30 us, ``mflops'': 11753
Problem: orf7936, setup: 263.48 ms, time: 21.25 us, ``mflops'': 12092
Problem: orf8448, setup: 460.69 ms, time: 12.66 us, ``mflops'': 21754
Problem: orf8960, setup: 1.03 s, time: 12.99 us, ``mflops'': 22641
Problem: orf9472, setup: 363.30 ms, time: 27.84 us, ``mflops'': 11236
Problem: orf9984, setup: 534.55 ms, time: 18.34 us, ``mflops'': 18085
Problem: orf10496, setup: 394.42 ms, time: 32.75 us, ``mflops'': 10703
Problem: orf11008, setup: 353.60 ms, time: 35.21 us, ``mflops'': 10495
Problem: orf11520, setup: 2.04 s, time: 16.12 us, ``mflops'': 24099
Problem: orf12032, setup: 416.66 ms, time: 40.71 us, ``mflops'': 10016
Problem: orf12544, setup: 516.72 ms, time: 17.75 us, ``mflops'': 24050
Problem: orf13056, setup: 525.28 ms, time: 27.29 us, ``mflops'': 16353
Problem: orf13568, setup: 436.33 ms, time: 48.13 us, ``mflops'': 9674.3
Problem: orf14080, setup: 672.85 ms, time: 20.59 us, ``mflops'': 23558
Problem: orf14592, setup: 630.12 ms, time: 49.28 us, ``mflops'': 10240
Problem: orf15104, setup: 519.52 ms, time: 57.02 us, ``mflops'': 9193.5
Problem: orf15616, setup: 593.62 ms, time: 61.51 us, ``mflops'': 8841.5
Problem: orf16128, setup: 1.53 s, time: 22.72 us, ``mflops'': 24808
Problem: irb256, setup: 141.03 ms, time: 384.16 ns, ``mflops'': 13328
Problem: irb768, setup: 571.26 ms, time: 2.55 us, ``mflops'': 7214.7
Problem: irb1280, setup: 756.67 ms, time: 3.51 us, ``mflops'': 9410.9
Problem: irb1792, setup: 472.25 ms, time: 4.72 us, ``mflops'': 10250
Problem: irb2304, setup: 1.19 s, time: 5.92 us, ``mflops'': 10870
Problem: irb2816, setup: 374.93 ms, time: 7.69 us, ``mflops'': 10488
Problem: irb3328, setup: 355.24 ms, time: 7.23 us, ``mflops'': 13469
Problem: irb3840, setup: 2.14 s, time: 7.81 us, ``mflops'': 14631
Problem: irb4352, setup: 375.96 ms, time: 12.18 us, ``mflops'': 10798
Problem: irb4864, setup: 393.04 ms, time: 13.40 us, ``mflops'': 11112
Problem: irb5376, setup: 1.56 s, time: 13.70 us, ``mflops'': 12153
Problem: irb5888, setup: 433.49 ms, time: 17.27 us, ``mflops'': 10673
Problem: irb6400, setup: 1.73 s, time: 12.16 us, ``mflops'': 16639
Problem: irb6912, setup: 1.89 s, time: 13.62 us, ``mflops'': 16182
Problem: irb7424, setup: 597.85 ms, time: 34.20 us, ``mflops'': 6977.3
Problem: irb7936, setup: 559.30 ms, time: 25.95 us, ``mflops'': 9902.9
Problem: irb8448, setup: 1.00 s, time: 16.70 us, ``mflops'': 16497
Problem: irb8960, setup: 1.94 s, time: 16.81 us, ``mflops'': 17495
Problem: irb9472, setup: 788.88 ms, time: 32.63 us, ``mflops'': 9586.6
Problem: irb9984, setup: 1.07 s, time: 21.39 us, ``mflops'': 15504
Problem: irb10496, setup: 1.03 s, time: 61.18 us, ``mflops'': 5729.1
Problem: irb11008, setup: 1.03 s, time: 65.65 us, ``mflops'': 5628
Problem: irb11520, setup: 4.27 s, time: 26.15 us, ``mflops'': 14859
Problem: irb12032, setup: 919.86 ms, time: 45.89 us, ``mflops'': 8884.6
Problem: irb12544, setup: 1.03 s, time: 25.96 us, ``mflops'': 16449
Problem: irb13056, setup: 1.29 s, time: 34.88 us, ``mflops'': 12795
Problem: irb13568, setup: 1.04 s, time: 57.07 us, ``mflops'': 8158.7
Problem: irb14080, setup: 1.46 s, time: 26.42 us, ``mflops'': 18364
Problem: irb14592, setup: 1.41 s, time: 39.82 us, ``mflops'': 12674
Problem: irb15104, setup: 1.15 s, time: 60.39 us, ``mflops'': 8679.7
Problem: irb15616, setup: 1.41 s, time: 69.70 us, ``mflops'': 7803.3
Problem: irb16128, setup: 3.25 s, time: 32.85 us, ``mflops'': 17157
Problem: orb256, setup: 70.90 ms, time: 1.74 us, ``mflops'': 2934.3
Problem: orb768, setup: 327.11 ms, time: 4.97 us, ``mflops'': 3705.2
Problem: orb1280, setup: 465.71 ms, time: 4.20 us, ``mflops'': 7855.3
Problem: orb1792, setup: 283.33 ms, time: 5.41 us, ``mflops'': 8944.4
Problem: orb2304, setup: 681.47 ms, time: 7.85 us, ``mflops'': 8192.4
Problem: orb2816, setup: 197.95 ms, time: 9.15 us, ``mflops'': 8814.1
Problem: orb3328, setup: 202.04 ms, time: 9.93 us, ``mflops'': 9803.7
Problem: orb3840, setup: 1.30 s, time: 10.76 us, ``mflops'': 10625
Problem: orb4352, setup: 241.74 ms, time: 19.17 us, ``mflops'': 6858.9
Problem: orb4864, setup: 220.38 ms, time: 20.05 us, ``mflops'': 7428.2
Problem: orb5376, setup: 876.12 ms, time: 14.41 us, ``mflops'': 11562
Problem: orb5888, setup: 242.01 ms, time: 20.21 us, ``mflops'': 9123.8
Problem: orb6400, setup: 1.07 s, time: 15.60 us, ``mflops'': 12971
Problem: orb6912, setup: 1.09 s, time: 17.90 us, ``mflops'': 12316
Problem: orb7424, setup: 314.21 ms, time: 26.63 us, ``mflops'': 8959.9
Problem: orb7936, setup: 315.38 ms, time: 28.52 us, ``mflops'': 9012.4
Problem: orb8448, setup: 572.10 ms, time: 20.30 us, ``mflops'': 13571
Problem: orb8960, setup: 1.20 s, time: 20.83 us, ``mflops'': 14121
Problem: orb9472, setup: 548.02 ms, time: 52.40 us, ``mflops'': 5969.2
Problem: orb9984, setup: 604.60 ms, time: 23.66 us, ``mflops'': 14014
Problem: orb10496, setup: 536.70 ms, time: 39.72 us, ``mflops'': 8823.7
Problem: orb11008, setup: 449.38 ms, time: 44.09 us, ``mflops'': 8379.7
Problem: orb11520, setup: 2.50 s, time: 24.08 us, ``mflops'': 16135
Problem: orb12032, setup: 523.70 ms, time: 48.08 us, ``mflops'': 8479.7
Problem: orb12544, setup: 605.43 ms, time: 26.84 us, ``mflops'': 15909
Problem: orb13056, setup: 701.99 ms, time: 35.85 us, ``mflops'': 12448
Problem: orb13568, setup: 747.31 ms, time: 95.91 us, ``mflops'': 4855.3
Problem: orb14080, setup: 850.17 ms, time: 30.38 us, ``mflops'': 15966
Problem: orb14592, setup: 763.14 ms, time: 39.28 us, ``mflops'': 12846
Problem: orb15104, setup: 644.35 ms, time: 60.11 us, ``mflops'': 8720.9
Problem: orb15616, setup: 848.05 ms, time: 70.45 us, ``mflops'': 7719.8
Problem: orb16128, setup: 1.87 s, time: 32.57 us, ``mflops'': 17302
Problem: irf256x256, setup: 166.78 ms, time: 75.22 us, ``mflops'': 34849
Problem: irf768x768, setup: 547.83 ms, time: 719.75 us, ``mflops'': 39274
