Problem: irb7936, setup: 557.96 ms, time: 25.76 us, ``mflops'': 9978.7
Problem: irb8448, setup: 1.00 s, time: 16.67 us, ``mflops'': 16526
Problem: irb8960, setup: 1.94 s, time: 16.90 us, ``mflops'': 17405
Problem: irb9472, setup: 783.05 ms, time: 32.63 us, ``mflops'': 9586.6
Problem: irb9984, setup: 1.07 s, time: 19.56 us, ``mflops'': 16954
Problem: irb10496, setup: 875.87 ms, time: 40.19 us, ``mflops'': 8721.7
Problem: irb11008, setup: 814.22 ms, time: 41.62 us, ``mflops'': 8877.5
Problem: irb11520, setup: 4.29 s, time: 23.57 us, ``mflops'': 16483
Problem: irb12032, setup: 971.52 ms, time: 75.44 us, ``mflops'': 5404.8
Problem: irb12544, setup: 1.03 s, time: 27.10 us, ``mflops'': 15754
Problem: irb13056, setup: 1.29 s, time: 33.88 us, ``mflops'': 13170
Problem: irb13568, setup: 1.31 s, time: 59.36 us, ``mflops'': 7844.1
Problem: irb14080, setup: 1.46 s, time: 29.60 us, ``mflops'': 16390
Problem: irb14592, setup: 1.41 s, time: 39.79 us, ``mflops'': 12684
Problem: irb15104, setup: 1.16 s, time: 60.90 us, ``mflops'': 8607.4
Problem: irb15616, setup: 1.41 s, time: 69.40 us, ``mflops'': 7836.7
Problem: irb16128, setup: 3.24 s, time: 32.68 us, ``mflops'': 17245
Problem: orb256, setup: 69.89 ms, time: 572.05 ns, ``mflops'': 8950.2
Problem: orb768, setup: 330.62 ms, time: 4.69 us, ``mflops'': 3924.4
Problem: orb1280, setup: 481.69 ms, time: 4.88 us, ``mflops'': 6773.7
Problem: orb1792, setup: 282.45 ms, time: 5.60 us, ``mflops'': 8647.2
Problem: orb2304, setup: 680.05 ms, time: 8.20 us, ``mflops'': 7843.7
Problem: orb2816, setup: 195.89 ms, time: 9.89 us, ``mflops'': 8156.7
Problem: orb3328, setup: 209.62 ms, time: 11.64 us, ``mflops'': 8365.6
Problem: orb3840, setup: 1.30 s, time: 10.84 us, ``mflops'': 10540
Problem: orb4352, setup: 208.92 ms, time: 15.26 us, ``mflops'': 8617.6
Problem: orb4864, setup: 219.68 ms, time: 16.71 us, ``mflops'': 8912.9
Problem: orb5376, setup: 876.75 ms, time: 14.94 us, ``mflops'': 11148
Problem: orb5888, setup: 238.75 ms, time: 19.64 us, ``mflops'': 9385.1
Problem: orb6400, setup: 1.07 s, time: 15.13 us, ``mflops'': 13371
Problem: orb6912, setup: 1.09 s, time: 16.87 us, ``mflops'': 13063
Problem: orb7424, setup: 311.40 ms, time: 27.07 us, ``mflops'': 8816.3
Problem: orb7936, setup: 316.15 ms, time: 28.92 us, ``mflops'': 8885.8
Problem: orb8448, setup: 571.50 ms, time: 21.56 us, ``mflops'': 12778
Problem: orb8960, setup: 1.20 s, time: 20.56 us, ``mflops'': 14304
Problem: orb9472, setup: 484.11 ms, time: 35.87 us, ``mflops'': 8719.6
Problem: orb9984, setup: 604.62 ms, time: 23.19 us, ``mflops'': 14301
Problem: orb10496, setup: 534.51 ms, time: 41.10 us, ``mflops'': 8528.5
Problem: orb11008, setup: 449.18 ms, time: 45.32 us, ``mflops'': 8152.9
Problem: orb11520, setup: 2.51 s, time: 25.28 us, ``mflops'': 15370
Problem: orb12032, setup: 523.56 ms, time: 47.98 us, ``mflops'': 8498.4
Problem: orb12544, setup: 602.13 ms, time: 26.81 us, ``mflops'': 15926
Problem: orb13056, setup: 705.42 ms, time: 35.76 us, ``mflops'': 12479
Problem: orb13568, setup: 568.07 ms, time: 57.88 us, ``mflops'': 8045.3
Problem: orb14080, setup: 849.22 ms, time: 30.43 us, ``mflops'': 15941
Problem: orb14592, setup: 761.37 ms, time: 39.14 us, ``mflops'': 12894
Problem: orb15104, setup: 648.65 ms, time: 60.81 us, ``mflops'': 8620.6
Problem: orb15616, setup: 842.60 ms, time: 71.14 us, ``mflops'': 7644.8
Problem: orb16128, setup: 1.88 s, time: 32.41 us, ``mflops'': 17386
Problem: irf256x256, setup: 167.23 ms, time: 75.57 us, ``mflops'': 34687
Problem: irf768x768, setup: 545.75 ms, time: 717.44 us, ``mflops'': 39400
Problem: irf1280x1280, setup: 886.02 ms, time: 2.54 ms, ``mflops'': 33264
Problem: irf1792x1792, setup: 815.09 ms, time: 5.54 ms, ``mflops'': 31345
Problem: irf2304x2304, setup: 1.84 s, time: 9.16 ms, ``mflops'': 32380
Problem: irf2816x2816, setup: 1.49 s, time: 15.73 ms, ``mflops'': 28881
