Problem: irb7936, setup: 560.56 ms, time: 25.63 us, ``mflops'': 10027
Problem: irb8448, setup: 1.00 s, time: 16.85 us, ``mflops'': 16353
Problem: irb8960, setup: 2.07 s, time: 21.40 us, ``mflops'': 13745
Problem: irb9472, setup: 802.98 ms, time: 32.64 us, ``mflops'': 9584.3
Problem: irb9984, setup: 1.08 s, time: 19.47 us, ``mflops'': 17030
Problem: irb10496, setup: 878.73 ms, time: 37.79 us, ``mflops'': 9274.3
Problem: irb11008, setup: 809.64 ms, time: 41.98 us, ``mflops'': 8802.3
Problem: irb11520, setup: 4.28 s, time: 22.01 us, ``mflops'': 17657
Problem: irb12032, setup: 918.45 ms, time: 48.51 us, ``mflops'': 8405.3
Problem: irb12544, setup: 1.04 s, time: 27.40 us, ``mflops'': 15583
Problem: irb13056, setup: 1.29 s, time: 36.35 us, ``mflops'': 12276
Problem: irb13568, setup: 1.04 s, time: 56.29 us, ``mflops'': 8271.9
Problem: irb14080, setup: 1.45 s, time: 29.54 us, ``mflops'': 16425
Problem: irb14592, setup: 1.41 s, time: 39.71 us, ``mflops'': 12706
Problem: irb15104, setup: 1.39 s, time: 92.73 us, ``mflops'': 5652.8
Problem: irb15616, setup: 1.41 s, time: 69.82 us, ``mflops'': 7789.4
Problem: irb16128, setup: 3.41 s, time: 37.01 us, ``mflops'': 15227
Problem: orb256, setup: 71.76 ms, time: 1.70 us, ``mflops'': 3016.8
Problem: orb768, setup: 340.94 ms, time: 4.94 us, ``mflops'': 3723.5
Problem: orb1280, setup: 481.35 ms, time: 4.81 us, ``mflops'': 6863.4
Problem: orb1792, setup: 291.92 ms, time: 5.78 us, ``mflops'': 8369.9
Problem: orb2304, setup: 682.52 ms, time: 7.80 us, ``mflops'': 8251.9
Problem: orb2816, setup: 198.38 ms, time: 9.56 us, ``mflops'': 8442.1
Problem: orb3328, setup: 202.11 ms, time: 10.99 us, ``mflops'': 8860
