Problem: irf256, setup: 137.91 ms, time: 390.87 ns, ``mflops'': 13099
Problem: irf768, setup: 488.21 ms, time: 1.38 us, ``mflops'': 13334
Problem: irf1280, setup: 669.30 ms, time: 2.25 us, ``mflops'': 14659
Problem: irf1792, setup: 418.88 ms, time: 5.52 us, ``mflops'': 8774.3
Problem: irf2304, setup: 974.47 ms, time: 6.30 us, ``mflops'': 10217
Problem: irf2816, setup: 324.48 ms, time: 8.39 us, ``mflops'': 9614.8
Problem: irf3328, setup: 306.11 ms, time: 8.20 us, ``mflops'': 11878
Problem: irf3840, setup: 1.67 s, time: 8.23 us, ``mflops'': 13895
Problem: irf4352, setup: 318.08 ms, time: 13.06 us, ``mflops'': 10067
Problem: irf4864, setup: 328.95 ms, time: 15.07 us, ``mflops'': 9885.9
Problem: irf5376, setup: 1.19 s, time: 11.83 us, ``mflops'': 14076
Problem: irf5888, setup: 361.28 ms, time: 18.17 us, ``mflops'': 10144
Problem: irf6400, setup: 1.49 s, time: 14.40 us, ``mflops'': 14048
Problem: irf6912, setup: 1.53 s, time: 14.12 us, ``mflops'': 15612
Problem: irf7424, setup: 454.16 ms, time: 23.75 us, ``mflops'': 10050
Problem: irf7936, setup: 461.92 ms, time: 26.27 us, ``mflops'': 9783.6
Problem: irf8448, setup: 770.48 ms, time: 17.08 us, ``mflops'': 16127
Problem: irf8960, setup: 1.67 s, time: 19.74 us, ``mflops'': 14898
Problem: irf9472, setup: 599.50 ms, time: 32.53 us, ``mflops'': 9617.1
Problem: irf9984, setup: 815.13 ms, time: 19.08 us, ``mflops'': 17375
Problem: irf10496, setup: 657.85 ms, time: 36.59 us, ``mflops'': 9580.2
Problem: irf11008, setup: 645.62 ms, time: 42.77 us, ``mflops'': 8638.3
Problem: irf11520, setup: 3.26 s, time: 20.31 us, ``mflops'': 19128
Problem: irf12032, setup: 712.66 ms, time: 44.22 us, ``mflops'': 9219.8
Problem: irf12544, setup: 844.17 ms, time: 22.60 us, ``mflops'': 18894
Problem: irf13056, setup: 922.61 ms, time: 31.61 us, ``mflops'': 14117
Problem: irf13568, setup: 788.95 ms, time: 52.60 us, ``mflops'': 8853.1
Problem: irf14080, setup: 1.10 s, time: 24.89 us, ``mflops'': 19486
Problem: irf14592, setup: 997.85 ms, time: 36.12 us, ``mflops'': 13972
Problem: irf15104, setup: 898.13 ms, time: 57.39 us, ``mflops'': 9134.7
Problem: irf15616, setup: 1.23 s, time: 118.55 us, ``mflops'': 4587.4
Problem: irf16128, setup: 2.52 s, time: 32.33 us, ``mflops'': 17434
Problem: orf256, setup: 71.34 ms, time: 390.93 ns, ``mflops'': 13097
Problem: orf768, setup: 301.02 ms, time: 1.87 us, ``mflops'': 9860.6
Problem: orf1280, setup: 424.51 ms, time: 2.79 us, ``mflops'': 11842
Problem: orf1792, setup: 260.51 ms, time: 3.75 us, ``mflops'': 12921
Problem: orf2304, setup: 595.76 ms, time: 4.39 us, ``mflops'': 14662
Problem: orf2816, setup: 175.54 ms, time: 6.06 us, ``mflops'': 13321
Problem: orf3328, setup: 178.38 ms, time: 6.35 us, ``mflops'': 15335
Problem: orf3840, setup: 1.11 s, time: 6.70 us, ``mflops'': 17060
Problem: orf4352, setup: 180.36 ms, time: 9.63 us, ``mflops'': 13652
Problem: orf4864, setup: 189.33 ms, time: 10.92 us, ``mflops'': 13645
Problem: orf5376, setup: 765.33 ms, time: 8.27 us, ``mflops'': 20149
Problem: orf5888, setup: 245.96 ms, time: 22.71 us, ``mflops'': 8117.8
Problem: orf6400, setup: 919.24 ms, time: 9.43 us, ``mflops'': 21443
Problem: orf6912, setup: 922.12 ms, time: 10.33 us, ``mflops'': 21346
Problem: orf7424, setup: 269.35 ms, time: 20.17 us, ``mflops'': 11829
Problem: orf7936, setup: 265.74 ms, time: 22.33 us, ``mflops'': 11508
Problem: orf8448, setup: 460.70 ms, time: 12.79 us, ``mflops'': 21532
Problem: orf8960, setup: 1.03 s, time: 12.65 us, ``mflops'': 23250
Problem: orf9472, setup: 416.05 ms, time: 46.11 us, ``mflops'': 6783.9
Problem: orf9984, setup: 504.99 ms, time: 17.74 us, ``mflops'': 18688
Problem: orf10496, setup: 394.69 ms, time: 32.68 us, ``mflops'': 10725
Problem: orf11008, setup: 363.92 ms, time: 38.40 us, ``mflops'': 9622.5
Problem: orf11520, setup: 2.04 s, time: 15.87 us, ``mflops'': 24478
Problem: orf12032, setup: 411.79 ms, time: 40.53 us, ``mflops'': 10059
Problem: orf12544, setup: 515.42 ms, time: 18.09 us, ``mflops'': 23598
Problem: orf13056, setup: 523.21 ms, time: 27.40 us, ``mflops'': 16288
Problem: orf13568, setup: 437.49 ms, time: 48.42 us, ``mflops'': 9616.5
Problem: orf14080, setup: 672.38 ms, time: 21.93 us, ``mflops'': 22121
Problem: orf14592, setup: 560.53 ms, time: 31.74 us, ``mflops'': 15899
Problem: orf15104, setup: 514.53 ms, time: 55.18 us, ``mflops'': 9500
Problem: orf15616, setup: 593.71 ms, time: 61.36 us, ``mflops'': 8864
Problem: orf16128, setup: 1.54 s, time: 22.08 us, ``mflops'': 25526
Problem: irb256, setup: 142.61 ms, time: 379.52 ns, ``mflops'': 13491
Problem: irb768, setup: 568.01 ms, time: 2.51 us, ``mflops'': 7321.9
Problem: irb1280, setup: 755.38 ms, time: 3.59 us, ``mflops'': 9210.4
Problem: irb1792, setup: 473.34 ms, time: 4.72 us, ``mflops'': 10262
Problem: irb2304, setup: 1.19 s, time: 5.30 us, ``mflops'': 12135
Problem: irb2816, setup: 339.00 ms, time: 6.51 us, ``mflops'': 12399
Problem: irb3328, setup: 353.33 ms, time: 7.15 us, ``mflops'': 13614
Problem: irb3840, setup: 2.14 s, time: 7.70 us, ``mflops'': 14837
Problem: irb4352, setup: 384.63 ms, time: 13.22 us, ``mflops'': 9947.4
Problem: irb4864, setup: 394.44 ms, time: 13.43 us, ``mflops'': 11093
Problem: irb5376, setup: 1.47 s, time: 10.74 us, ``mflops'': 15512
Problem: irb5888, setup: 432.73 ms, time: 17.34 us, ``mflops'': 10633
Problem: irb6400, setup: 1.73 s, time: 12.11 us, ``mflops'': 16710
Problem: irb6912, setup: 1.89 s, time: 13.54 us, ``mflops'': 16284
Problem: irb7424, setup: 544.85 ms, time: 23.51 us, ``mflops'': 10150
Problem: irb7936, setup: 555.64 ms, time: 25.68 us, ``mflops'': 10008
Problem: irb8448, setup: 1.00 s, time: 16.96 us, ``mflops'': 16245
Problem: irb8960, setup: 1.94 s, time: 16.79 us, ``mflops'': 17521
Problem: irb9472, setup: 800.87 ms, time: 35.68 us, ``mflops'': 8765.9
Problem: irb9984, setup: 1.07 s, time: 19.91 us, ``mflops'': 16655
Problem: irb10496, setup: 1.04 s, time: 61.18 us, ``mflops'': 5729.4
Problem: irb11008, setup: 858.63 ms, time: 42.78 us, ``mflops'': 8637.5
Problem: irb11520, setup: 4.27 s, time: 22.15 us, ``mflops'': 17541
Problem: irb12032, setup: 920.48 ms, time: 45.70 us, ``mflops'': 8922.6
Problem: irb12544, setup: 1.03 s, time: 27.11 us, ``mflops'': 15748
Problem: irb13056, setup: 1.29 s, time: 34.58 us, ``mflops'': 12907
Problem: irb13568, setup: 1.04 s, time: 56.62 us, ``mflops'': 8224
Problem: irb14080, setup: 1.45 s, time: 29.54 us, ``mflops'': 16422
Problem: irb14592, setup: 1.41 s, time: 40.42 us, ``mflops'': 12484
Problem: irb15104, setup: 1.21 s, time: 80.58 us, ``mflops'': 6505.6
Problem: irb15616, setup: 1.40 s, time: 70.31 us, ``mflops'': 7734.8
Problem: irb16128, setup: 3.23 s, time: 32.79 us, ``mflops'': 17184
Problem: orb256, setup: 71.99 ms, time: 1.74 us, ``mflops'': 2944.4
Problem: orb768, setup: 327.78 ms, time: 4.91 us, ``mflops'': 3745.9
Problem: orb1280, setup: 466.57 ms, time: 4.27 us, ``mflops'': 7739.8
Problem: orb1792, setup: 281.38 ms, time: 5.46 us, ``mflops'': 8874.8
Problem: orb2304, setup: 685.88 ms, time: 7.92 us, ``mflops'': 8120.2
Problem: orb2816, setup: 199.76 ms, time: 9.79 us, ``mflops'': 8240
Problem: orb3328, setup: 202.38 ms, time: 10.40 us, ``mflops'': 9357.4
Problem: orb3840, setup: 1.31 s, time: 12.07 us, ``mflops'': 9472.3
Problem: orb4352, setup: 212.05 ms, time: 17.94 us, ``mflops'': 7331.7
Problem: orb4864, setup: 219.45 ms, time: 16.93 us, ``mflops'': 8798.8
Problem: orb5376, setup: 875.50 ms, time: 13.90 us, ``mflops'': 11981
Problem: orb5888, setup: 239.98 ms, time: 21.63 us, ``mflops'': 8521.6
Problem: orb6400, setup: 1.06 s, time: 14.69 us, ``mflops'': 13768
Problem: orb6912, setup: 1.09 s, time: 17.07 us, ``mflops'': 12910
Problem: orb7424, setup: 323.68 ms, time: 32.41 us, ``mflops'': 7363.7
Problem: orb7936, setup: 319.24 ms, time: 28.43 us, ``mflops'': 9040.9
Problem: orb8448, setup: 570.81 ms, time: 20.49 us, ``mflops'': 13443
Problem: orb8960, setup: 1.20 s, time: 20.65 us, ``mflops'': 14242
Problem: orb9472, setup: 481.86 ms, time: 34.92 us, ``mflops'': 8957.1
Problem: orb9984, setup: 604.30 ms, time: 22.88 us, ``mflops'': 14490
Problem: orb10496, setup: 533.24 ms, time: 39.59 us, ``mflops'': 8852.5
Problem: orb11008, setup: 448.37 ms, time: 42.93 us, ``mflops'': 8606.9
Problem: orb11520, setup: 2.51 s, time: 24.29 us, ``mflops'': 16000
Problem: orb12032, setup: 521.02 ms, time: 48.61 us, ``mflops'': 8387.1
Problem: orb12544, setup: 621.39 ms, time: 29.14 us, ``mflops'': 14652
Problem: orb13056, setup: 770.44 ms, time: 35.39 us, ``mflops'': 12611
Problem: orb13568, setup: 571.44 ms, time: 57.52 us, ``mflops'': 8096.1
Problem: orb14080, setup: 847.92 ms, time: 30.75 us, ``mflops'': 15774
Problem: orb14592, setup: 769.24 ms, time: 39.13 us, ``mflops'': 12896
Problem: orb15104, setup: 645.72 ms, time: 61.53 us, ``mflops'': 8519.4
Problem: orb15616, setup: 846.66 ms, time: 71.27 us, ``mflops'': 7630.6
Problem: orb16128, setup: 1.87 s, time: 32.05 us, ``mflops'': 17586
Problem: irf256x256, setup: 166.99 ms, time: 75.64 us, ``mflops'': 34658
Problem: irf768x768, setup: 549.08 ms, time: 724.19 us, ``mflops'': 39033
Problem: irf1280x1280, setup: 897.97 ms, time: 2.64 ms, ``mflops'': 32066
Problem: irf1792x1792, setup: 844.91 ms, time: 6.55 ms, ``mflops'': 26499
Problem: irf2304x2304, setup: 1.93 s, time: 11.06 ms, ``mflops'': 26808
Problem: irf2816x2816, setup: 1.61 s, time: 17.85 ms, ``mflops'': 25457
Problem: irf3328x3328, setup: 1.74 s, time: 22.79 ms, ``mflops'': 28430
Problem: irf3840x3840, setup: 3.34 s, time: 32.02 ms, ``mflops'': 27414
Problem: irf4352x4352, setup: 3.02 s, time: 71.90 ms, ``mflops'': 15920
Problem: irf4864x4864, setup: 4.01 s, time: 115.98 ms, ``mflops'': 12492
Problem: irf5376x5376, setup: 4.22 s, time: 59.48 ms, ``mflops'': 30106
Problem: irf5888x5888, setup: 6.28 s, time: 184.39 ms, ``mflops'': 11774
Problem: irf6400x6400, setup: 6.23 s, time: 84.52 ms, ``mflops'': 30637
Problem: irf6912x6912, setup: 6.62 s, time: 100.03 ms, ``mflops'': 30458
Problem: irf7424x7424, setup: 10.40 s, time: 278.23 ms, ``mflops'': 12736
Problem: irf7936x7936, setup: 12.26 s, time: 372.97 ms, ``mflops'': 10937
Problem: irf8448x8448, setup: 9.60 s, time: 167.84 ms, ``mflops'': 27734
Problem: irf8960x8960, setup: 11.23 s, time: 203.91 ms, ``mflops'': 25846
Problem: irf9472x9472, setup: 18.89 s, time: 583.77 ms, ``mflops'': 10151
Problem: irf9984x9984, setup: 11.94 s, time: 268.62 ms, ``mflops'': 24650
Problem: irf10496x10496, setup: 20.96 s, time: 1.16 s, ``mflops'': 6323.6
Problem: irf11008x11008, setup: 20.50 s, time: 737.66 ms, ``mflops'': 11028
Problem: irf11520x11520, setup: 17.76 s, time: 334.17 ms, ``mflops'': 26790
Problem: irf12032x12032, setup: 21.54 s, time: 937.93 ms, ``mflops'': 10461
Problem: irf12544x12544, setup: 16.81 s, time: 466.15 ms, ``mflops'': 22978
Problem: irf13056x13056, setup: 21.51 s, time: 682.49 ms, ``mflops'': 17074
Problem: irf13568x13568, setup: 22.54 s, time: 1.26 s, ``mflops'': 10035
Problem: irf14080x14080, setup: 20.00 s, time: 576.53 ms, ``mflops'': 23695
Problem: irf14592x14592, setup: 21.95 s, time: 883.36 ms, ``mflops'': 16671
Problem: irf15104x15104, setup: 25.67 s, time: 1.57 s, ``mflops'': 10055
Problem: irf15616x15616, setup: 26.38 s, time: 1.91 s, ``mflops'': 8886.3
Problem: irf16128x16128, setup: 23.07 s, time: 700.83 ms, ``mflops'': 25938
Problem: orf256x256, setup: 129.13 ms, time: 69.21 us, ``mflops'': 37878
Problem: orf768x768, setup: 413.11 ms, time: 836.81 us, ``mflops'': 33780
Problem: orf1280x1280, setup: 670.53 ms, time: 3.82 ms, ``mflops'': 22163
Problem: orf1792x1792, setup: 570.54 ms, time: 7.17 ms, ``mflops'': 24187
Problem: orf2304x2304, setup: 1.37 s, time: 11.39 ms, ``mflops'': 26036
Problem: orf2816x2816, setup: 987.08 ms, time: 18.27 ms, ``mflops'': 24873
Problem: orf3328x3328, setup: 1.10 s, time: 23.63 ms, ``mflops'': 27419
Problem: orf3840x3840, setup: 2.13 s, time: 33.27 ms, ``mflops'': 26386
